E_B#3 / keV	N_B#3	E_B#4 / keV	N_B#4
187,0	1180	187,0	2470
187,8	1214	187,8	2451
188,6	1217	188,6	2628
189,4	1246	189,4	2619
190,2	1238	190,2	2532
191,0	1266	191,0	2658
191,8	1261	191,8	2579
192,6	1282	192,6	2506
193,5	1338	193,5	2541
194,3	1223	194,3	2551
195,1	1313	195,1	2511
195,9	1389	195,9	2410
196,7	1277	196,7	2267
197,5	1264	197,5	2289
198,3	1319	198,3	2283
199,1	1328	199,1	2203
200,0	1257	200,0	2067
200,8	1296	200,8	1941
201,6	1242	201,6	1848
202,4	1276	202,4	1785
203,2	1308	203,2	1902
204,0	1246	204,0	1812
204,8	1224	204,8	1783
205,7	1207	205,7	1699
206,5	1195	206,5	1628
207,3	1134	207,3	1649
208,1	1179	208,1	1579
208,9	1122	208,9	1500
209,7	1086	209,7	1532
210,5	1107	210,5	1513
211,3	1129	211,3	1495
212,2	973	212,2	1469
213,0	1115	213,0	1494
213,8	1057	213,8	1426
214,6	1017	214,6	1458
215,4	1022	215,4	1389
216,2	1019	216,2	1348
217,0	1035	217,0	1312
217,9	967	217,9	1395
218,7	942	218,7	1317
219,5	1025	219,5	1352
220,3	929	220,3	1404
221,1	963	221,1	1371
221,9	914	221,9	1382
222,7	950	222,7	1307
223,5	928	223,5	1291
224,4	901	224,4	1287
225,2	866	225,2	1295
226,0	895	226,0	1343
226,8	897	226,8	1317
227,6	872	227,6	1308
228,4	866	228,4	1305
229,2	844	229,2	1398
230,1	864	230,1	1415
230,9	817	230,9	1421
231,7	832	231,7	1511
232,5	856	232,5	1439
233,3	842	233,3	1538
234,1	858	234,1	1585
234,9	829	234,9	1597
235,7	813	235,7	1747
236,6	761	236,6	1723
237,4	829	237,4	1745
238,2	818	238,2	1771
239,0	809	239,0	1868
239,8	842	239,8	2041
240,6	785	240,6	2043
241,4	829	241,4	2048
242,2	805	242,2	2055
243,1	761	243,1	2138
243,9	785	243,9	2239
244,7	785	244,7	2190
