wert,wert,wert,wert
l,z1,z2,z3
2,360.9,357.7,363.8
3,196.4,185.7,185.0
4,119.5,123.4,108.1
6,51.7,56.7,58.8
8,33.1,33.8,32.7
10,21.8,22.3,22.2

