wert,wert
B,n
8.2,271
15.5,411
27.6,790
36.6,1164
50.8,1645
66.3,2240
76.8,2501
79.8,2591
85.8,2525
99.9,2395
107.8,2229
115.7,2037
120.1,1895
135.4,1487
152.2,1103
169.9,686
181.4,507
190.2,408
